"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"503","SUCCESS","0","3","32768","0","0.0","475","2","165.1098308385505","216.51083083855605","51.40100000000555"
"504","SUCCESS","0","4","32768","0","0.0","678","2","165.1098308385505","190.16383083855328","25.054000000002787"
"509","SUCCESS","0","9","32768","0","0.0","426","2","165.1098308385505","204.6438308385547","39.5340000000042"
"510","SUCCESS","0","0","32768","0","0.0","877","2","165.1098308385505","191.12683083855327","26.01700000000278"
"514","SUCCESS","0","4","32768","0","0.0","497","2","165.1098308385505","194.64583083855368","29.536000000003185"
"519","SUCCESS","0","9","32768","0","0.0","1221","2","165.1098308385505","188.51383083855308","23.404000000002583"
"523","SUCCESS","0","3","32768","0","0.0","942","2","165.1098308385505","199.36633083855423","34.25650000000374"
"524","SUCCESS","0","4","32768","0","0.0","529","2","165.1098308385505","194.42583083855365","29.316000000003157"
"526","SUCCESS","0","6","32768","0","0.0","240","2","165.1098308385505","178.295830838552","13.186000000001513"
"529","SUCCESS","0","9","32768","0","0.0","493","2","165.1098308385505","192.3358308385534","27.226000000002898"
"530","SUCCESS","0","0","32768","0","0.0","1087","2","165.1098308385505","190.3838308385533","25.274000000002815"
"533","SUCCESS","0","3","32768","0","0.0","388","2","180.16583083855224","222.77783083855667","42.61200000000443"
"534","SUCCESS","0","4","32768","0","0.0","1522","2","180.16583083855224","208.16383083855513","27.99800000000289"
"536","SUCCESS","0","6","32768","0","0.0","365","2","180.16583083855224","193.54583083855354","13.380000000001303"
"540","SUCCESS","0","0","32768","0","0.0","524","2","180.16583083855224","217.17083083855613","37.00500000000389"
"543","SUCCESS","0","3","32768","0","0.0","939","2","180.16583083855224","217.50083083855617","37.33500000000393"
"544","SUCCESS","0","4","32768","0","0.0","666","2","180.16583083855224","216.73083083855607","36.565000000003835"
"546","SUCCESS","0","6","32768","0","0.0","1823","2","180.16583083855224","190.91433083855327","10.74850000000103"
"550","SUCCESS","0","0","32768","0","0.0","1093","2","180.16583083855224","206.62383083855494","26.4580000000027"
"553","SUCCESS","0","3","32768","0","0.0","777","2","180.16583083855224","218.6008308385563","38.43500000000407"
"556","SUCCESS","0","6","32768","0","0.0","1693","2","180.16583083855224","190.60383083855334","10.438000000001097"
"559","SUCCESS","0","9","32768","0","0.0","562","2","180.16583083855224","212.9908308385556","32.82500000000337"
"560","SUCCESS","0","0","32768","0","0.0","514","2","180.16583083855224","216.29083083855602","36.12500000000378"
"563","SUCCESS","0","3","32768","0","0.0","1082","2","190.16383083855328","229.80883083855736","39.645000000004075"
"566","SUCCESS","0","6","32768","0","0.0","569","2","190.16383083855328","203.54383083855456","13.380000000001274"
"569","SUCCESS","0","9","32768","0","0.0","947","2","190.16383083855328","222.3378308385566","32.17400000000333"
"574","SUCCESS","0","4","32768","0","0.0","585","2","190.16383083855328","233.10883083855776","42.945000000004484"
"576","SUCCESS","0","6","32768","0","0.0","1645","2","190.16383083855328","201.78383083855434","11.620000000001056"
"579","SUCCESS","0","9","32768","0","0.0","1501","2","190.16383083855328","218.27083083855626","28.107000000002984"
"583","SUCCESS","0","3","32768","0","0.0","375","2","190.16383083855328","231.45883083855756","41.29500000000428"
"584","SUCCESS","0","4","32768","0","0.0","836","2","190.16383083855328","225.417830838557","35.254000000003714"
"586","SUCCESS","0","6","32768","0","0.0","573","2","190.16383083855328","203.65383083855457","13.490000000001288"
"589","SUCCESS","0","9","32768","0","0.0","1293","2","190.16383083855328","220.79783083855642","30.63400000000314"
"593","SUCCESS","0","3","32768","0","0.0","1666","2","190.16383083855328","225.417830838557","35.254000000003714"
"594","SUCCESS","0","4","32768","0","0.0","543","2","190.16383083855328","241.22783083855862","51.064000000005336"
"596","SUCCESS","0","6","32768","0","0.0","958","2","198.16583083855411","210.90083083855535","12.735000000001236"
"599","SUCCESS","0","9","32768","0","0.0","939","2","198.16583083855411","232.6688308385577","34.503000000003595"
"602","SUCCESS","0","2","32768","0","0.0","1873","2","198.16583083855411","404.1213308385774","205.9555000000233"
"606","SUCCESS","0","6","32768","0","0.0","479","2","198.16583083855411","212.66083083855557","14.495000000001454"
"609","SUCCESS","0","9","32768","0","0.0","421","2","198.16583083855411","244.417830838559","46.2520000000049"
"613","SUCCESS","0","3","32768","0","0.0","1261","2","198.16583083855411","239.68783083855843","41.52200000000431"
"614","SUCCESS","0","4","32768","0","0.0","507","2","198.16583083855411","253.85183083856","55.68600000000589"
"616","SUCCESS","0","6","32768","0","0.0","624","2","198.16583083855411","210.90083083855535","12.735000000001236"
"619","SUCCESS","0","9","32768","0","0.0","342","2","198.16583083855411","235.8588308385581","37.69300000000399"
"620","SUCCESS","0","0","32768","0","0.0","920","2","198.16583083855411","234.31883083855791","36.1530000000038"
"623","SUCCESS","0","3","32768","0","0.0","891","2","198.16583083855411","247.1498308385592","48.984000000005096"
"624","SUCCESS","0","4","32768","0","0.0","1368","2","198.16583083855411","232.44883083855768","34.28300000000357"
"634","SUCCESS","0","4","32768","0","0.0","1086","2","209.15383083855525","249.45183083855946","40.29800000000421"
"636","SUCCESS","0","6","32768","0","0.0","1041","2","209.15383083855525","221.67783083855653","12.52400000000128"
"639","SUCCESS","0","9","32768","0","0.0","1235","2","209.15383083855525","245.1878308385591","36.03400000000386"
"640","SUCCESS","0","0","32768","0","0.0","1172","2","209.15383083855525","246.17483083855922","37.021000000003966"
"643","SUCCESS","0","3","32768","0","0.0","897","2","209.15383083855525","258.1418308385604","48.988000000005144"
"644","SUCCESS","0","4","32768","0","0.0","1387","2","209.15383083855525","247.0458308385593","37.89200000000406"
"646","SUCCESS","0","6","32768","0","0.0","1489","2","209.15383083855525","221.56783083855652","12.414000000001266"
